"","doc_id","paragraph_id","sentence_id","sentence","token_id","token","lemma","upos","xpos","feats","head_token_id","dep_rel","deps","misc","jobdesc_id","source"
"1","doc1",1,1,"C(""ANSWERING COMPLEX BUSINESS QUESTIONS BY USING STATISTICS, MODELING, SIMULATION, AND MACHINE LEARNING TECHNIQUES"", ""DESIGNING AND RUNNING EXPERIMENTS TO GATHER DATA (I.E. A/B TESTING)"", ""DEVELOP NOVEL APPLICATIONS OF CLASSIFICATION, FORECASTING, SIMULATION, OPTIMIZATION, AND SUMMARIZATION TECHNIQUES."",","1","C","C","PROPN","NNP","Number=Sing","0","root",NA,"SpaceAfter=No",1,"Indeed"
"5","doc1",1,1,"C(""ANSWERING COMPLEX BUSINESS QUESTIONS BY USING STATISTICS, MODELING, SIMULATION, AND MACHINE LEARNING TECHNIQUES"", ""DESIGNING AND RUNNING EXPERIMENTS TO GATHER DATA (I.E. A/B TESTING)"", ""DEVELOP NOVEL APPLICATIONS OF CLASSIFICATION, FORECASTING, SIMULATION, OPTIMIZATION, AND SUMMARIZATION TECHNIQUES."",","5","COMPLEX","complex","PROPN","NNP","Number=Sing","7","compound",NA,NA,1,"Indeed"
"6","doc1",1,1,"C(""ANSWERING COMPLEX BUSINESS QUESTIONS BY USING STATISTICS, MODELING, SIMULATION, AND MACHINE LEARNING TECHNIQUES"", ""DESIGNING AND RUNNING EXPERIMENTS TO GATHER DATA (I.E. A/B TESTING)"", ""DEVELOP NOVEL APPLICATIONS OF CLASSIFICATION, FORECASTING, SIMULATION, OPTIMIZATION, AND SUMMARIZATION TECHNIQUES."",","6","BUSINESS","business","PROPN","NNP","Number=Sing","7","compound",NA,NA,1,"Indeed"
"7","doc1",1,1,"C(""ANSWERING COMPLEX BUSINESS QUESTIONS BY USING STATISTICS, MODELING, SIMULATION, AND MACHINE LEARNING TECHNIQUES"", ""DESIGNING AND RUNNING EXPERIMENTS TO GATHER DATA (I.E. A/B TESTING)"", ""DEVELOP NOVEL APPLICATIONS OF CLASSIFICATION, FORECASTING, SIMULATION, OPTIMIZATION, AND SUMMARIZATION TECHNIQUES."",","7","QUESTIONS","question","NOUN","NNS","Number=Plur","4","obj",NA,NA,1,"Indeed"
"9","doc1",1,1,"C(""ANSWERING COMPLEX BUSINESS QUESTIONS BY USING STATISTICS, MODELING, SIMULATION, AND MACHINE LEARNING TECHNIQUES"", ""DESIGNING AND RUNNING EXPERIMENTS TO GATHER DATA (I.E. A/B TESTING)"", ""DEVELOP NOVEL APPLICATIONS OF CLASSIFICATION, FORECASTING, SIMULATION, OPTIMIZATION, AND SUMMARIZATION TECHNIQUES."",","9","USING","using","PROPN","NNP","Number=Sing","4","obl",NA,NA,1,"Indeed"
"10","doc1",1,1,"C(""ANSWERING COMPLEX BUSINESS QUESTIONS BY USING STATISTICS, MODELING, SIMULATION, AND MACHINE LEARNING TECHNIQUES"", ""DESIGNING AND RUNNING EXPERIMENTS TO GATHER DATA (I.E. A/B TESTING)"", ""DEVELOP NOVEL APPLICATIONS OF CLASSIFICATION, FORECASTING, SIMULATION, OPTIMIZATION, AND SUMMARIZATION TECHNIQUES."",","10","STATISTICS","STATISTICS","PROPN","NNP","Number=Sing","9","flat",NA,"SpaceAfter=No",1,"Indeed"
"12","doc1",1,1,"C(""ANSWERING COMPLEX BUSINESS QUESTIONS BY USING STATISTICS, MODELING, SIMULATION, AND MACHINE LEARNING TECHNIQUES"", ""DESIGNING AND RUNNING EXPERIMENTS TO GATHER DATA (I.E. A/B TESTING)"", ""DEVELOP NOVEL APPLICATIONS OF CLASSIFICATION, FORECASTING, SIMULATION, OPTIMIZATION, AND SUMMARIZATION TECHNIQUES."",","12","MODELING","modeling","PROPN","NNP","Number=Sing","9","conj",NA,"SpaceAfter=No",1,"Indeed"
"14","doc1",1,1,"C(""ANSWERING COMPLEX BUSINESS QUESTIONS BY USING STATISTICS, MODELING, SIMULATION, AND MACHINE LEARNING TECHNIQUES"", ""DESIGNING AND RUNNING EXPERIMENTS TO GATHER DATA (I.E. A/B TESTING)"", ""DEVELOP NOVEL APPLICATIONS OF CLASSIFICATION, FORECASTING, SIMULATION, OPTIMIZATION, AND SUMMARIZATION TECHNIQUES."",","14","SIMULATION","simulation","PROPN","NNP","Number=Sing","9","conj",NA,"SpaceAfter=No",1,"Indeed"
"17","doc1",1,1,"C(""ANSWERING COMPLEX BUSINESS QUESTIONS BY USING STATISTICS, MODELING, SIMULATION, AND MACHINE LEARNING TECHNIQUES"", ""DESIGNING AND RUNNING EXPERIMENTS TO GATHER DATA (I.E. A/B TESTING)"", ""DEVELOP NOVEL APPLICATIONS OF CLASSIFICATION, FORECASTING, SIMULATION, OPTIMIZATION, AND SUMMARIZATION TECHNIQUES."",","17","MACHINE","machine","PROPN","NNP","Number=Sing","18","compound",NA,NA,1,"Indeed"
"18","doc1",1,1,"C(""ANSWERING COMPLEX BUSINESS QUESTIONS BY USING STATISTICS, MODELING, SIMULATION, AND MACHINE LEARNING TECHNIQUES"", ""DESIGNING AND RUNNING EXPERIMENTS TO GATHER DATA (I.E. A/B TESTING)"", ""DEVELOP NOVEL APPLICATIONS OF CLASSIFICATION, FORECASTING, SIMULATION, OPTIMIZATION, AND SUMMARIZATION TECHNIQUES."",","18","LEARNING","learning","PROPN","NNP","Number=Sing","19","compound",NA,NA,1,"Indeed"
