"","doc_id","paragraph_id","sentence_id","sentence","token_id","token","lemma","upos","xpos","feats","head_token_id","dep_rel","deps","misc","jobdesc_id","source"
"1","doc1",1,1,"C(""DESIGN AND IMPLEMENT INTERNAL DATA PRODUCTS THAT HAVE A SIGNIFICANT IMPACT ON BOSCH GLOBAL BUSINESS."",","1","C","C","PROPN","NNP","Number=Sing","0","root",NA,"SpaceAfter=No",1,"LinkedIn"
"4","doc1",1,1,"C(""DESIGN AND IMPLEMENT INTERNAL DATA PRODUCTS THAT HAVE A SIGNIFICANT IMPACT ON BOSCH GLOBAL BUSINESS."",","4","DESIGN","Design","NOUN","NN","Number=Sing","1","parataxis",NA,NA,1,"LinkedIn"
"7","doc1",1,1,"C(""DESIGN AND IMPLEMENT INTERNAL DATA PRODUCTS THAT HAVE A SIGNIFICANT IMPACT ON BOSCH GLOBAL BUSINESS."",","7","INTERNAL","Internal","ADJ","JJ","Degree=Pos","9","amod",NA,NA,1,"LinkedIn"
"8","doc1",1,1,"C(""DESIGN AND IMPLEMENT INTERNAL DATA PRODUCTS THAT HAVE A SIGNIFICANT IMPACT ON BOSCH GLOBAL BUSINESS."",","8","DATA","data","NOUN","NN","Number=Sing","9","compound",NA,NA,1,"LinkedIn"
"9","doc1",1,1,"C(""DESIGN AND IMPLEMENT INTERNAL DATA PRODUCTS THAT HAVE A SIGNIFICANT IMPACT ON BOSCH GLOBAL BUSINESS."",","9","PRODUCTS","product","NOUN","NNS","Number=Plur","4","conj",NA,NA,1,"LinkedIn"
"13","doc1",1,1,"C(""DESIGN AND IMPLEMENT INTERNAL DATA PRODUCTS THAT HAVE A SIGNIFICANT IMPACT ON BOSCH GLOBAL BUSINESS."",","13","SIGNIFICA","SIGNIFICa","PROPN","NNP","Number=Sing","11","xcomp",NA,"SpaceAfter=No",1,"LinkedIn"
"15","doc1",1,1,"C(""DESIGN AND IMPLEMENT INTERNAL DATA PRODUCTS THAT HAVE A SIGNIFICANT IMPACT ON BOSCH GLOBAL BUSINESS."",","15","IMPACT","impact","ADJ","JJ","Degree=Pos","11","xcomp",NA,NA,1,"LinkedIn"
"17","doc1",1,1,"C(""DESIGN AND IMPLEMENT INTERNAL DATA PRODUCTS THAT HAVE A SIGNIFICANT IMPACT ON BOSCH GLOBAL BUSINESS."",","17","BOSCH","BOSCH","PROPN","NNP","Number=Sing","19","compound",NA,NA,1,"LinkedIn"
"18","doc1",1,1,"C(""DESIGN AND IMPLEMENT INTERNAL DATA PRODUCTS THAT HAVE A SIGNIFICANT IMPACT ON BOSCH GLOBAL BUSINESS."",","18","GLOBAL","Global","PROPN","NNP","Number=Sing","19","compound",NA,NA,1,"LinkedIn"
"19","doc1",1,1,"C(""DESIGN AND IMPLEMENT INTERNAL DATA PRODUCTS THAT HAVE A SIGNIFICANT IMPACT ON BOSCH GLOBAL BUSINESS."",","19","BUSINESS.","BUSINESS.","PROPN","NNP","Number=Sing","15","obl",NA,"SpaceAfter=No",1,"LinkedIn"
"23","doc1",1,2,"""SHARE KNOWLEDGE BY CLEARLY ARTICULATING RESULTS AND IDEAS TO CUSTOMERS, MANAGERS, AND","2","SHARE","share","PROPN","NNP","Number=Sing","3","compound",NA,NA,1,"LinkedIn"
"24","doc1",1,2,"""SHARE KNOWLEDGE BY CLEARLY ARTICULATING RESULTS AND IDEAS TO CUSTOMERS, MANAGERS, AND","3","KNOWLEDGE","knowledge","PROPN","NNP","Number=Sing","0","root",NA,NA,1,"LinkedIn"
"26","doc1",1,2,"""SHARE KNOWLEDGE BY CLEARLY ARTICULATING RESULTS AND IDEAS TO CUSTOMERS, MANAGERS, AND","5","CLEARLY","clearly","PROPN","NNP","Number=Sing","7","compound",NA,NA,1,"LinkedIn"
"27","doc1",1,2,"""SHARE KNOWLEDGE BY CLEARLY ARTICULATING RESULTS AND IDEAS TO CUSTOMERS, MANAGERS, AND","6","ARTICULATING","articulating","PROPN","NNP","Number=Sing","5","flat",NA,NA,1,"LinkedIn"
"28","doc1",1,2,"""SHARE KNOWLEDGE BY CLEARLY ARTICULATING RESULTS AND IDEAS TO CUSTOMERS, MANAGERS, AND","7","RESULTS","result","PROPN","NNP","Number=Sing","3","nmod",NA,NA,1,"LinkedIn"
"30","doc1",1,2,"""SHARE KNOWLEDGE BY CLEARLY ARTICULATING RESULTS AND IDEAS TO CUSTOMERS, MANAGERS, AND","9","IDEAS","idea","PROPN","NNP","Number=Sing","3","conj",NA,NA,1,"LinkedIn"
"32","doc1",1,2,"""SHARE KNOWLEDGE BY CLEARLY ARTICULATING RESULTS AND IDEAS TO CUSTOMERS, MANAGERS, AND","11","CUSTOMERS","customer","PROPN","NNP","Number=Sing","3","nmod",NA,"SpaceAfter=No",1,"LinkedIn"
"34","doc1",1,2,"""SHARE KNOWLEDGE BY CLEARLY ARTICULATING RESULTS AND IDEAS TO CUSTOMERS, MANAGERS, AND","13","MANAGERS","manager","PROPN","NNP","Number=Sing","11","conj",NA,"SpaceAfter=No",1,"LinkedIn"
"37","doc1",1,3,"KEY DECISION MAKERS."",","1","KEY","key","PROPN","NNP","Number=Sing","2","compound",NA,NA,1,"LinkedIn"
"38","doc1",1,3,"KEY DECISION MAKERS."",","2","DECISION","decision","PROPN","NNP","Number=Sing","0","root",NA,NA,1,"LinkedIn"
"39","doc1",1,3,"KEY DECISION MAKERS."",","3","MAKERS.","MAKERS.","PROPN","NNP","Number=Sing","2","flat",NA,"SpaceAfter=No",1,"LinkedIn"
