"","AREA","AREA_TITLE","AREA_TYPE","PRIM_STATE","NAICS","NAICS_TITLE","I_GROUP","OWN_CODE","OCC_CODE","OCC_TITLE","O_GROUP","TOT_EMP","EMP_PRSE","JOBS_1000","LOC_QUOTIENT","PCT_TOTAL","PCT_RPT","H_MEAN","A_MEAN","MEAN_PRSE","H_PCT10","H_PCT25","H_MEDIAN","H_PCT75","H_PCT90","A_PCT10","A_PCT25","A_MEDIAN","A_PCT75","A_PCT90","ANNUAL","HOURLY"
"1","99","U.S.","1","US","000000","Cross-industry","cross-industry","1235","00-0000","All Occupations","total",140886310,0,NA,NA,NA,NA,"28.01","58260","0.1","11.53","14.4","22","32.979999999999997","49.43","23980","29950","45760","68590","102810",NA,NA
"2","99","U.S.","1","US","000000","Cross-industry","cross-industry","1235","11-0000","Management Occupations","major",8909910,0.2,NA,NA,NA,NA,"59.31","123370","0.3","23.01","35.92","49.25","77.39","#","47860","74710","102450","160960","#",NA,NA
"3","99","U.S.","1","US","000000","Cross-industry","cross-industry","1235","11-1000","Top Executives","minor",3229990,0.4,NA,NA,NA,NA,"57.94","120520","0.4","19.84","29.28","47.46","77.180000000000007","#","41260","60900","98720","160540","#",NA,NA
"4","99","U.S.","1","US","000000","Cross-industry","cross-industry","1235","11-1010","Chief Executives","broad",200480,1.6,NA,NA,NA,NA,"102.41","213020","0.8","28.99","53.4","86.31","#","#","60300","111080","179520","#","#",NA,NA
"5","99","U.S.","1","US","000000","Cross-industry","cross-industry","1235","11-1011","Chief Executives","detailed",200480,1.6,NA,NA,NA,NA,"102.41","213020","0.8","28.99","53.4","86.31","#","#","60300","111080","179520","#","#",NA,NA
"6","99","U.S.","1","US","000000","Cross-industry","cross-industry","1235","11-1020","General and Operations Managers","broad",2984920,0.5,NA,NA,NA,NA,"55.41","115250","0.4","20.8","29.18","47.1","72.959999999999994","#","43260","60690","97970","151750","#",NA,NA
"7","99","U.S.","1","US","000000","Cross-industry","cross-industry","1235","11-1021","General and Operations Managers","detailed",2984920,0.5,NA,NA,NA,NA,"55.41","115250","0.4","20.8","29.18","47.1","72.959999999999994","#","43260","60690","97970","151750","#",NA,NA
"8","99","U.S.","1","US","000000","Cross-industry","cross-industry","1235","11-1030","Legislators","broad",44590,2.7,NA,NA,NA,NA,"*","57110","1.8","*","*","*","*","*","17850","22880","37270","78510","100580","TRUE",NA
"9","99","U.S.","1","US","000000","Cross-industry","cross-industry","1235","11-1031","Legislators","detailed",44590,2.7,NA,NA,NA,NA,"*","57110","1.8","*","*","*","*","*","17850","22880","37270","78510","100580","TRUE",NA
"10","99","U.S.","1","US","000000","Cross-industry","cross-industry","1235","11-2000","Advertising, Marketing, Promotions, Public Relations, and Sales Managers","minor",838050,0.8,NA,NA,NA,NA,"69.77","145130","0.4","30.42","45.74","61.62","85.27","#","63270","95140","128160","177360","#",NA,NA
"11","99","U.S.","1","US","000000","Cross-industry","cross-industry","1235","11-2010","Advertising and Promotions Managers","broad",22520,3.4,NA,NA,NA,NA,"68.680000000000007","142860","1.9","29.45","45.2","61.13","82.79","#","61250","94020","127150","172210","#",NA,NA
"12","99","U.S.","1","US","000000","Cross-industry","cross-industry","1235","11-2011","Advertising and Promotions Managers","detailed",22520,3.4,NA,NA,NA,NA,"68.680000000000007","142860","1.9","29.45","45.2","61.13","82.79","#","61250","94020","127150","172210","#",NA,NA
"13","99","U.S.","1","US","000000","Cross-industry","cross-industry","1235","11-2020","Marketing and Sales Managers","broad",732490,0.9,NA,NA,NA,NA,"70.48","146600","0.4","30.46","45.93","62.18","89.95","#","63350","95530","129330","187100","#",NA,NA
"14","99","U.S.","1","US","000000","Cross-industry","cross-industry","1235","11-2021","Marketing Managers","detailed",278690,1,NA,NA,NA,NA,"73.77","153440","0.5","37.35","48.08","64.92","92.56","#","77680","100010","135030","192520","#",NA,NA
"15","99","U.S.","1","US","000000","Cross-industry","cross-industry","1235","11-2022","Sales Managers","detailed",453800,1.2,NA,NA,NA,NA,"68.459999999999994","142390","0.4","29.37","40.6","61.3","83.18","#","61090","84450","127490","173010","#",NA,NA
"16","99","U.S.","1","US","000000","Cross-industry","cross-industry","1235","11-2030","Public Relations and Fundraising Managers","broad",83040,1.7,NA,NA,NA,NA,"63.85","132800","0.7","30.26","39.369999999999997","57.62","78.37","#","62940","81880","119860","163000","#",NA,NA
"17","99","U.S.","1","US","000000","Cross-industry","cross-industry","1235","11-2032","Public Relations Managers","detailed",59850,2.2,NA,NA,NA,NA,"66.349999999999994","138000","0.9","31.73","45.51","60.47","79.239999999999995","#","66000","94660","125780","164830","#",NA,NA
"18","99","U.S.","1","US","000000","Cross-industry","cross-industry","1235","11-2033","Fundraising Managers","detailed",23190,1.8,NA,NA,NA,NA,"57.4","119400","0.8","29.04","37.1","48.47","72.56","98.29","60400","77170","100810","150920","204430",NA,NA
"19","99","U.S.","1","US","000000","Cross-industry","cross-industry","1235","11-3000","Operations Specialties Managers","minor",2116020,0.5,NA,NA,NA,NA,"67.260000000000005","139900","0.2","35.21","45.99","61.13","79.739999999999995","#","73230","95660","127140","165860","#",NA,NA
"20","99","U.S.","1","US","000000","Cross-industry","cross-industry","1235","11-3010","Administrative Services and Facilities Managers","broad",325850,0.7,NA,NA,NA,NA,"52.69","109590","0.3","28.46","36.85","47.73","62.28","80.510000000000005","59210","76650","99290","129530","167450",NA,NA
"21","99","U.S.","1","US","000000","Cross-industry","cross-industry","1235","11-3012","Administrative Services Managers","detailed",224620,0.7,NA,NA,NA,NA,"54.34","113030","0.4","28.59","37.049999999999997","48.16","63.05","81.209999999999994","59470","77070","100170","131130","168910",NA,NA
"22","99","U.S.","1","US","000000","Cross-industry","cross-industry","1235","11-3013","Facilities Managers","detailed",101230,1.3,NA,NA,NA,NA,"49.03","101970","0.5","28.37","35.909999999999997","47.08","60.55","77.47","59010","74700","97930","125940","161140",NA,NA
"23","99","U.S.","1","US","000000","Cross-industry","cross-industry","1235","11-3020","Computer and Information Systems Managers","broad",485190,0.9,NA,NA,NA,NA,"78.33","162930","0.3","45.78","59.05","76.45","95.56","#","95220","122820","159010","198750","#",NA,NA
"24","99","U.S.","1","US","000000","Cross-industry","cross-industry","1235","11-3021","Computer and Information Systems Managers","detailed",485190,0.9,NA,NA,NA,NA,"78.33","162930","0.3","45.78","59.05","76.45","95.56","#","95220","122820","159010","198750","#",NA,NA
"25","99","U.S.","1","US","000000","Cross-industry","cross-industry","1235","11-3030","Financial Managers","broad",681070,0.6,NA,NA,NA,NA,"73.78","153460","0.3","37.04","47.89","63.32","92.24","#","77040","99620","131710","191860","#",NA,NA
"26","99","U.S.","1","US","000000","Cross-industry","cross-industry","1235","11-3031","Financial Managers","detailed",681070,0.6,NA,NA,NA,NA,"73.78","153460","0.3","37.04","47.89","63.32","92.24","#","77040","99620","131710","191860","#",NA,NA
"27","99","U.S.","1","US","000000","Cross-industry","cross-industry","1235","11-3050","Industrial Production Managers","broad",192270,0.6,NA,NA,NA,NA,"56.62","117780","0.3","30.84","38.549999999999997","49.59","64.489999999999995","81.96","64150","80190","103150","134130","170470",NA,NA
"28","99","U.S.","1","US","000000","Cross-industry","cross-industry","1235","11-3051","Industrial Production Managers","detailed",192270,0.6,NA,NA,NA,NA,"56.62","117780","0.3","30.84","38.549999999999997","49.59","64.489999999999995","81.96","64150","80190","103150","134130","170470",NA,NA
"29","99","U.S.","1","US","000000","Cross-industry","cross-industry","1235","11-3060","Purchasing Managers","broad",69310,0.9,NA,NA,NA,NA,"64.709999999999994","134590","0.5","37.17","47.46","61.13","78.19","99.3","77310","98720","127150","162630","206540",NA,NA
"30","99","U.S.","1","US","000000","Cross-industry","cross-industry","1235","11-3061","Purchasing Managers","detailed",69310,0.9,NA,NA,NA,NA,"64.709999999999994","134590","0.5","37.17","47.46","61.13","78.19","99.3","77310","98720","127150","162630","206540",NA,NA
"31","99","U.S.","1","US","000000","Cross-industry","cross-industry","1235","11-3070","Transportation, Storage, and Distribution Managers","broad",144640,1.1,NA,NA,NA,NA,"50.76","105580","0.6","28.16","36.200000000000003","47.22","60.87","78.260000000000005","58570","75290","98230","126600","162770",NA,NA
"32","99","U.S.","1","US","000000","Cross-industry","cross-industry","1235","11-3071","Transportation, Storage, and Distribution Managers","detailed",144640,1.1,NA,NA,NA,NA,"50.76","105580","0.6","28.16","36.200000000000003","47.22","60.87","78.260000000000005","58570","75290","98230","126600","162770",NA,NA
"33","99","U.S.","1","US","000000","Cross-industry","cross-industry","1235","11-3110","Compensation and Benefits Managers","broad",15330,2.5,NA,NA,NA,NA,"67.05","139470","1","37.04","47.46","61.31","78.790000000000006","#","77040","98720","127530","163870","#",NA,NA
"34","99","U.S.","1","US","000000","Cross-industry","cross-industry","1235","11-3111","Compensation and Benefits Managers","detailed",15330,2.5,NA,NA,NA,NA,"67.05","139470","1","37.04","47.46","61.31","78.790000000000006","#","77040","98720","127530","163870","#",NA,NA
"35","99","U.S.","1","US","000000","Cross-industry","cross-industry","1235","11-3120","Human Resources Managers","broad",166530,1.4,NA,NA,NA,NA,"65.67","136590","0.5","36.06","45.82","60.69","78.540000000000006","#","75000","95310","126230","163360","#",NA,NA
"36","99","U.S.","1","US","000000","Cross-industry","cross-industry","1235","11-3121","Human Resources Managers","detailed",166530,1.4,NA,NA,NA,NA,"65.67","136590","0.5","36.06","45.82","60.69","78.540000000000006","#","75000","95310","126230","163360","#",NA,NA
"37","99","U.S.","1","US","000000","Cross-industry","cross-industry","1235","11-3130","Training and Development Managers","broad",35830,1.2,NA,NA,NA,NA,"61.92","128800","0.7","30.95","43.74","57.76","77.650000000000006","99.72","64370","90980","120130","161520","207420",NA,NA
"38","99","U.S.","1","US","000000","Cross-industry","cross-industry","1235","11-3131","Training and Development Managers","detailed",35830,1.2,NA,NA,NA,NA,"61.92","128800","0.7","30.95","43.74","57.76","77.650000000000006","99.72","64370","90980","120130","161520","207420",NA,NA
"39","99","U.S.","1","US","000000","Cross-industry","cross-industry","1235","11-9000","Other Management Occupations","minor",2725860,0.3,NA,NA,NA,NA,"51.55","107230","0.3","22.62","30.06","46.94","62.41","82.93","47040","62520","97630","129820","172490",NA,NA
"40","99","U.S.","1","US","000000","Cross-industry","cross-industry","1235","11-9010","Farmers, Ranchers, and Other Agricultural Managers","broad",5220,5.6,NA,NA,NA,NA,"37.71","78440","2","18.37","24.01","35.119999999999997","46.4","60.74","38200","49940","73060","96520","126330",NA,NA
"41","99","U.S.","1","US","000000","Cross-industry","cross-industry","1235","11-9013","Farmers, Ranchers, and Other Agricultural Managers","detailed",5220,5.6,NA,NA,NA,NA,"37.71","78440","2","18.37","24.01","35.119999999999997","46.4","60.74","38200","49940","73060","96520","126330",NA,NA
"42","99","U.S.","1","US","000000","Cross-industry","cross-industry","1235","11-9020","Construction Managers","broad",284750,1.5,NA,NA,NA,NA,"52.02","108210","0.8","28.87","37","47.55","61.11","78.75","60050","76960","98890","127110","163800",NA,NA
"43","99","U.S.","1","US","000000","Cross-industry","cross-industry","1235","11-9021","Construction Managers","detailed",284750,1.5,NA,NA,NA,NA,"52.02","108210","0.8","28.87","37","47.55","61.11","78.75","60050","76960","98890","127110","163800",NA,NA
"44","99","U.S.","1","US","000000","Cross-industry","cross-industry","1235","11-9030","Education and Childcare Administrators","broad",537100,0.5,NA,NA,NA,NA,"47.73","99280","0.3","23.13","35.53","45.68","59.91","76.84","48100","73900","95010","124620","159820",NA,NA
"45","99","U.S.","1","US","000000","Cross-industry","cross-industry","1235","11-9031","Education and Childcare Administrators, Preschool and Daycare","detailed",56430,2.7,NA,NA,NA,NA,"25.87","53800","0.9","15","17.88","22.75","28.85","37.67","31200","37200","47310","60010","78350",NA,NA
"46","99","U.S.","1","US","000000","Cross-industry","cross-industry","1235","11-9032","Education Administrators, Kindergarten through Secondary","detailed",274710,0.8,NA,NA,NA,NA,"*","102650","0.3","*","*","*","*","*","61480","77450","98420","125520","153520","TRUE",NA
"47","99","U.S.","1","US","000000","Cross-industry","cross-industry","1235","11-9033","Education Administrators, Postsecondary","detailed",155990,0.3,NA,NA,NA,NA,"53.49","111260","0.3","28.44","35.93","46.59","61.55","91.72","59150","74730","96910","128020","190770",NA,NA
"48","99","U.S.","1","US","000000","Cross-industry","cross-industry","1235","11-9039","Education Administrators, All Other","detailed",49970,1.7,NA,NA,NA,NA,"45.54","94730","0.7","22.9","29.9","43.54","57.4","72.38","47630","62190","90560","119400","150540",NA,NA
"49","99","U.S.","1","US","000000","Cross-industry","cross-industry","1235","11-9040","Architectural and Engineering Managers","broad",187100,0.9,NA,NA,NA,NA,"76.430000000000007","158970","0.3","47.76","60.32","73.25","91.55","#","99350","125470","152350","190420","#",NA,NA
"50","99","U.S.","1","US","000000","Cross-industry","cross-industry","1235","11-9041","Architectural and Engineering Managers","detailed",187100,0.9,NA,NA,NA,NA,"76.430000000000007","158970","0.3","47.76","60.32","73.25","91.55","#","99350","125470","152350","190420","#",NA,NA
"51","99","U.S.","1","US","000000","Cross-industry","cross-industry","1235","11-9050","Food Service Managers","broad",210680,1.9,NA,NA,NA,NA,"30.75","63970","1.4","17.61","22.4","28.58","36.6","47.15","36630","46590","59440","76130","98070",NA,NA
"52","99","U.S.","1","US","000000","Cross-industry","cross-industry","1235","11-9051","Food Service Managers","detailed",210680,1.9,NA,NA,NA,NA,"30.75","63970","1.4","17.61","22.4","28.58","36.6","47.15","36630","46590","59440","76130","98070",NA,NA
"53","99","U.S.","1","US","000000","Cross-industry","cross-industry","1235","11-9070","Entertainment and Recreation Managers","broad",21460,2.8,NA,NA,NA,NA,"36.75","76430","1.2","18.190000000000001","23.38","30.42","45.29","60.22","37840","48630","63270","94210","125250",NA,NA
"54","99","U.S.","1","US","000000","Cross-industry","cross-industry","1235","11-9071","Gambling Managers","detailed",3660,3.5,NA,NA,NA,NA,"42.88","89190","1.6","22.87","28.92","36.979999999999997","48.16","70.08","47580","60150","76910","100170","145770",NA,NA
"55","99","U.S.","1","US","000000","Cross-industry","cross-industry","1235","11-9072","Entertainment and Recreation Managers, Except Gambling","detailed",17800,3.3,NA,NA,NA,NA,"35.479999999999997","73810","1.4","17.8","23.01","29.81","43.69","59.67","37020","47850","62000","90870","124120",NA,NA
"56","99","U.S.","1","US","000000","Cross-industry","cross-industry","1235","11-9080","Lodging Managers","broad",35920,2.5,NA,NA,NA,NA,"32.58","67770","1.8","17.079999999999998","22.31","28.57","37.270000000000003","49.89","35530","46400","59430","77510","103780",NA,NA
"57","99","U.S.","1","US","000000","Cross-industry","cross-industry","1235","11-9081","Lodging Managers","detailed",35920,2.5,NA,NA,NA,NA,"32.58","67770","1.8","17.079999999999998","22.31","28.57","37.270000000000003","49.89","35530","46400","59430","77510","103780",NA,NA
"58","99","U.S.","1","US","000000","Cross-industry","cross-industry","1235","11-9110","Medical and Health Services Managers","broad",436770,0.5,NA,NA,NA,NA,"57.61","119840","0.3","29.22","37.380000000000003","48.72","65.260000000000005","98.86","60780","77750","101340","135750","205620",NA,NA
"59","99","U.S.","1","US","000000","Cross-industry","cross-industry","1235","11-9111","Medical and Health Services Managers","detailed",436770,0.5,NA,NA,NA,NA,"57.61","119840","0.3","29.22","37.380000000000003","48.72","65.260000000000005","98.86","60780","77750","101340","135750","205620",NA,NA
"60","99","U.S.","1","US","000000","Cross-industry","cross-industry","1235","11-9120","Natural Sciences Managers","broad",74760,1.6,NA,NA,NA,NA,"75.05","156110","0.7","36.08","48.75","66.3","97.55","#","75040","101400","137900","202910","#",NA,NA
"61","99","U.S.","1","US","000000","Cross-industry","cross-industry","1235","11-9121","Natural Sciences Managers","detailed",74760,1.6,NA,NA,NA,NA,"75.05","156110","0.7","36.08","48.75","66.3","97.55","#","75040","101400","137900","202910","#",NA,NA
"62","99","U.S.","1","US","000000","Cross-industry","cross-industry","1235","11-9130","Postmasters and Mail Superintendents","broad",12750,0,NA,NA,NA,NA,"39.340000000000003","81820","0","33.159999999999997","35.590000000000003","38.58","43.08","47.41","68970","74030","80250","89610","98610",NA,NA
"63","99","U.S.","1","US","000000","Cross-industry","cross-industry","1235","11-9131","Postmasters and Mail Superintendents","detailed",12750,0,NA,NA,NA,NA,"39.340000000000003","81820","0","33.159999999999997","35.590000000000003","38.58","43.08","47.41","68970","74030","80250","89610","98610",NA,NA
"64","99","U.S.","1","US","000000","Cross-industry","cross-industry","1235","11-9140","Property, Real Estate, and Community Association Managers","broad",234680,2.6,NA,NA,NA,NA,"33.67","70030","1.4","14.78","20.39","28.47","38.18","59.94","30740","42420","59230","79420","124680",NA,NA
"65","99","U.S.","1","US","000000","Cross-industry","cross-industry","1235","11-9141","Property, Real Estate, and Community Association Managers","detailed",234680,2.6,NA,NA,NA,NA,"33.67","70030","1.4","14.78","20.39","28.47","38.18","59.94","30740","42420","59230","79420","124680",NA,NA
"66","99","U.S.","1","US","000000","Cross-industry","cross-industry","1235","11-9150","Social and Community Service Managers","broad",156400,1,NA,NA,NA,NA,"36.92","76790","0.5","22.38","28.12","35.58","45.17","57.04","46550","58490","74000","93950","118650",NA,NA
"67","99","U.S.","1","US","000000","Cross-industry","cross-industry","1235","11-9151","Social and Community Service Managers","detailed",156400,1,NA,NA,NA,NA,"36.92","76790","0.5","22.38","28.12","35.58","45.17","57.04","46550","58490","74000","93950","118650",NA,NA
"68","99","U.S.","1","US","000000","Cross-industry","cross-industry","1235","11-9160","Emergency Management Directors","broad",10320,1.6,NA,NA,NA,NA,"40.770000000000003","84800","0.8","22.44","28.53","36.89","48.29","64.22","46670","59350","76730","100450","133580",NA,NA
"69","99","U.S.","1","US","000000","Cross-industry","cross-industry","1235","11-9161","Emergency Management Directors","detailed",10320,1.6,NA,NA,NA,NA,"40.770000000000003","84800","0.8","22.44","28.53","36.89","48.29","64.22","46670","59350","76730","100450","133580",NA,NA
"70","99","U.S.","1","US","000000","Cross-industry","cross-industry","1235","11-9170","Personal Service Managers","broad",20060,6.5,NA,NA,NA,NA,"35.75","74360","2.4","17.82","23.32","29.02","40.17","59.82","37060","48500","60360","83560","124420",NA,NA
"71","99","U.S.","1","US","000000","Cross-industry","cross-industry","1235","11-9171","Funeral Home Managers","detailed",12710,3.4,NA,NA,NA,NA,"39.86","82900","1.8","20.32","24.13","35.58","47.11","65.22","42260","50200","74000","97980","135660",NA,NA
"72","99","U.S.","1","US","000000","Cross-industry","cross-industry","1235","11-9179","Personal Service Managers, All Other","detailed",7350,21.3,NA,NA,NA,NA,"28.65","59580","2.1","15.07","22.45","29.02","29.28","40.47","31350","46700","60360","60890","84170",NA,NA
"73","99","U.S.","1","US","000000","Cross-industry","cross-industry","1235","11-9190","Miscellaneous Managers","broad",497890,0.6,NA,NA,NA,NA,"62.36","129710","0.4","29.03","38.89","59.93","78.069999999999993","#","60390","80890","124650","162380","#",NA,NA
"74","99","U.S.","1","US","000000","Cross-industry","cross-industry","1235","11-9199","Managers, All Other","detailed",497890,0.6,NA,NA,NA,NA,"62.36","129710","0.4","29.03","38.89","59.93","78.069999999999993","#","60390","80890","124650","162380","#",NA,NA
"75","99","U.S.","1","US","000000","Cross-industry","cross-industry","1235","13-0000","Business and Financial Operations Occupations","major",9053790,0.2,NA,NA,NA,NA,"39.72","82610","0.2","18.78","25.68","36.81","48.19","62.8","39060","53410","76570","100220","130620",NA,NA
"76","99","U.S.","1","US","000000","Cross-industry","cross-industry","1235","13-1000","Business Operations Specialists","minor",6152960,0.2,NA,NA,NA,NA,"38.64","80380","0.3","18.63","24.28","36.56","47.81","62.03","38740","50490","76040","99450","129020",NA,NA
"77","99","U.S.","1","US","000000","Cross-industry","cross-industry","1235","13-1010","Agents and Business Managers of Artists, Performers, and Athletes","broad",12480,8.5,NA,NA,NA,NA,"55.97","116410","4","22.78","29.4","37.700000000000003","78.33","#","47370","61160","78410","162930","#",NA,NA
"78","99","U.S.","1","US","000000","Cross-industry","cross-industry","1235","13-1011","Agents and Business Managers of Artists, Performers, and Athletes","detailed",12480,8.5,NA,NA,NA,NA,"55.97","116410","4","22.78","29.4","37.700000000000003","78.33","#","47370","61160","78410","162930","#",NA,NA
"79","99","U.S.","1","US","000000","Cross-industry","cross-industry","1235","13-1020","Buyers and Purchasing Agents","broad",439020,0.6,NA,NA,NA,NA,"34.880000000000003","72540","0.3","18.48","23.63","30.51","42.22","53.46","38430","49150","63470","87820","111200",NA,NA
"80","99","U.S.","1","US","000000","Cross-industry","cross-industry","1235","13-1020","Buyers and Purchasing Agents","detailed",439020,0.6,NA,NA,NA,NA,"34.880000000000003","72540","0.3","18.48","23.63","30.51","42.22","53.46","38430","49150","63470","87820","111200",NA,NA
"81","99","U.S.","1","US","000000","Cross-industry","cross-industry","1235","13-1030","Claims Adjusters, Appraisers, Examiners, and Investigators","broad",289580,1.3,NA,NA,NA,NA,"34.06","70850","0.5","20.43","23.86","31.11","39.14","48.6","42490","49620","64710","81410","101080",NA,NA
