id,cik,ticker,name,position,year,salary,bonus,stockAwards,optionAwards,nonEquityIncentiveCompensation,changeInPensionValueAndDeferredEarnings,otherCompensation,total
cc3958a33b14fad760ae4a09d98283d1,1326801,FB,Mark Zuckerberg,Chief Executive Officer,2021,1,0,0,0,0,0.0,26823060,26823061
70fcc6b361425fe4d38b0c82a7decfe5,1326801,FB,Marne Levine,Chief Business Officer,2021,729808,643294,24941213,0,0,0.0,76253,26390568
efd932fc4d4a20462c3144a5a796e091,1326801,FB,Sheryl K. Sandberg,Chief Operating Officer,2021,954615,849447,22169902,0,0,0.0,11274937,35248901
c0b78542aabaf060b88887e68323a5d1,1326801,META,Mark Zuckerberg,Chief Executive Officer,2021,1,0,0,0,0,,26823060,26823061
0975a1dd25d5908f37963acf59cb5cb9,1326801,META,David M. Wehner,Chief Financial Officer,2021,855385,1083678,22169902,0,0,,243537,24352502
d6fa179085fd8b6cd73180c122a06dd5,1326801,META,Sheryl K. Sandberg,Chief Operating Officer,2021,954615,849447,22169902,0,0,,11274937,35248901
ee36f4cce0c196ae8abb0128e3934300,1326801,META,Marne Levine,Chief Business Officer,2021,729808,643294,24941213,0,0,,76253,26390568
c9010a52a64d49217de83585ba87091e,1326801,FB,David M. Wehner,Chief Financial Officer,2021,855385,1083678,22169902,0,0,0.0,243537,24352502
43bfcc684fdcabbd6454203dd3c180a9,1326801,FB,Christopher K. Cox,Chief Product Officer,2021,855385,4841803,22169902,0,0,0.0,1209604,29076694
232c5a6a0e9312d9636d2516bfb0d1f7,1326801,META,Christopher K. Cox,Chief Product Officer,2021,855385,4841803,22169902,0,0,,1209604,29076694
ae96426eec068863ea1f57e65847c0b9,1326801,FB,Christopher K. Cox,CPO,2020,421385,691334,67999256,0,0,,570679,69682654
489065c5489716608502d54c35f78d1c,1326801,META,Mark Zuckerberg,CEO,2020,1,0,0,0,0,,25288264,25288265
6ffd8ce321f22f30f37b6b9e57a6cf11,1326801,FB,Mike Schroepfer,CTO,2020,823846,849592,14370187,0,0,,9750,16053375
7ad9651fd5d0ffc8799d7ca602fa7134,1326801,FB,Sheryl K. Sandberg,COO,2020,918077,946767,14370187,0,0,,8518973,24754004
7c9144abd670ad320444b757337264b1,1326801,FB,David M. Wehner,CFO,2020,823846,849592,14370187,0,0,,97612,16141237
bc107d8b9322af75bd9fb6fbb77bfcaa,1326801,META,David M. Wehner,CFO,2020,823846,849592,14370187,0,0,,97612,16141237
4448e0a7b09d5ff547ebd2ea743afdb8,1326801,META,Christopher K. Cox,CPO,2020,421385,691334,67999256,0,0,,570679,69682654
7ad497cde6ff62b1a6842edd5d9a5dba,1326801,FB,Mark Zuckerberg,CEO,2020,1,0,0,0,0,,25288264,25288265
4ae28e73c03bd126754e63e46c436276,1326801,META,Sheryl K. Sandberg,COO,2020,918077,946767,14370187,0,0,,8518973,24754004
eaabf2f6fd8f2740700f4083f6bf76fc,1326801,META,Mike Schroepfer,CTO,2020,823846,849592,14370187,0,0,,9750,16053375
e4a39b8842975167e7515ad18919bdc0,1326801,FB,Mark Zuckerberg,CEO,2019,1,0,0,0,0,0.0,23415972,23415973
8ef952cbd19c6e331d83a8b9f570f940,1326801,FB,Sheryl K. Sandberg,COO,2019,875385,902740,19678923,0,0,0.0,5687099,27144147
42ec80442ea73ba7447c5bd8094625dc,1326801,META,Christopher K. Cox,CPO,2019,408981,0,0,0,0,,9500,418481
be27614bce24f8247d5b9145c6eb5c63,1326801,META,Mark Zuckerberg,CEO,2019,1,0,0,0,0,,23415972,23415973
ef044a8755e2c938895257c1b1797d33,1326801,FB,Jennifer G. Newstead,,2019,353077,2291288,16309218,0,0,0.0,183162,19136745
0a0c0b5ff6c84730852ec49a35700f67,1326801,META,Mike Schroepfer,CTO,2019,785385,1295885,19678923,0,0,,52784,21812977
7fd7ecd480345a40f4e161890c1b2451,1326801,FB,David M. Wehner,CFO,2019,785385,809928,19678923,0,0,0.0,59800,21334036
7c39acaafafc2aec85809259730d6102,1326801,FB,Mike Schroepfer,CTO,2019,785385,1295885,19678923,0,0,0.0,52784,21812977
32d86e30a7f0ceb0cb68509732c5b8c2,1326801,META,David M. Wehner,CFO,2019,785385,809928,19678923,0,0,,59800,21334036
5ec3bc8cef7066aefe95b665d607f49a,1326801,FB,Christopher K. Cox,CPO,2019,408981,0,0,0,0,,9500,418481
a3911b19dfd0068a110d422dedd13d24,1326801,META,Sheryl K. Sandberg,COO,2019,875385,902740,19678923,0,0,,5687099,27144147
6c1bf261e07c0d961c04e1edda18fc8e,1326801,META,Jennifer G. Newstead,,2019,353077,2291288,16309218,0,0,,183162,19136745
20eccecb7516dd09c2a5e480615c6abb,1326801,FB,Mark Zuckerberg,CEO,2018,1,0,0,0,0,0.0,22554542,22554543
a55bff2a15d37498dbded3f685544737,1326801,META,Mike Schroepfer,CTO,2018,753846,570744,18423523,0,0,,9250,19757363
73c507d062f41d6b8dbcdb3233c9dda6,1326801,FB,David M. Wehner,CFO,2018,753846,499494,18423523,0,0,0.0,9250,19686113
c2df8ab52e841c5028ed827d1108adaa,1326801,FB,Mike Schroepfer,CTO,2018,753846,570744,18423523,0,0,0.0,9250,19757363
b158092d5da2db71613a98ddec97c146,1326801,FB,Sheryl K. Sandberg,COO,2018,843077,638310,18423523,0,0,0.0,3823508,23728418
21e1fc4f0b03aa4fb44b5a27ae06c7c3,1326801,META,Mark Zuckerberg,CEO,2018,1,0,0,0,0,,22554542,22554543
aa73a9ca2e8f0c1f34b3d792e00f6f43,1326801,FB,Christopher K. Cox,Former CPO,2018,753846,499494,18423523,0,0,0.0,9250,19686113
6fb9ccee6d5bd17d14f3bde6d63d6fb8,1326801,META,Sheryl K. Sandberg,COO,2018,843077,638310,18423523,0,0,,3823508,23728418
88debec7a804b6b2e72dbd0fa41c5184,1326801,META,David M. Wehner,CFO,2018,753846,499494,18423523,0,0,,9250,19686113
1480c1ed27be38dd0ded0d1c37329374,1326801,META,Christopher K. Cox,Former CPO,2018,753846,499494,18423523,0,0,,9250,19686113
a168a0f0587f38e4ca7b2e7a6d0fb3f3,1326801,FB,Mark Zuckerberg,CEO,2017,1,0,0,0,0,0.0,8852365,8852366
4ed0f3506a10280a3ba59384f8132ca3,1326801,FB,Sheryl K. Sandberg,COO,2017,795769,640378,21072431,0,0,0.0,2687643,25196221
3707a4b052078222dc80bcbdb3f066f6,1326801,FB,Christopher K. Cox,CPO,2017,711539,567404,21072431,0,0,0.0,9000,22360374
f7525696e183e45b09b4549709e27ee5,1326801,META,Christopher K. Cox,CPO,2017,711539,567404,21072431,0,0,,9000,22360374
70e9092c6e5ed28fbb14c5168bb75b00,1326801,META,Mike Schroepfer,CTO,2017,711539,633317,21072431,0,0,,9000,22426287
c13fa202dd9e4dd9cc1efbd6d2250cb6,1326801,FB,David M. Wehner,CFO,2017,711539,633317,21072431,0,0,0.0,9000,22426287
43886f602ac2ccbfc68d9cf83003f3ea,1326801,META,Sheryl K. Sandberg,COO,2017,795769,640378,21072431,0,0,,2687643,25196221
ce351f4c708fbbe927010ec829e41b1b,1326801,FB,Mike Schroepfer,CTO,2017,711539,633317,21072431,0,0,0.0,9000,22426287
e69d64dd93d05217cd64cd8e3aacda19,1326801,META,Mark Zuckerberg,CEO,2017,1,0,0,0,0,,8852365,8852366
764d297a15a23622d06dd2053f3fece5,1326801,META,David M. Wehner,CFO,2017,711539,633317,21072431,0,0,,9000,22426287
641e3b2801eec229a837599a184365f3,1326801,META,Mike Schroepfer,CTO,2016,658846,859356,14931596,0,0,,9377,16459175
d88681b5183133703675862bf598e57c,1326801,FB,Mark Zuckerberg,CEO,2016,1,0,0,0,0,0.0,5765831,5765832
98177a60706af134f6031cf1f90ecb29,1326801,META,Mark Zuckerberg,CEO,2016,1,0,0,0,0,,5765831,5765832
8d1c3710eb09f8d143a0d95408743e86,1326801,META,Sheryl K. Sandberg,COO,2016,738077,1293635,19908426,0,0,,2609319,24549457
8e80cbc346189cbabe1ca5b23974fab1,1326801,FB,David M. Wehner,CFO,2016,662692,940421,14931596,0,0,0.0,9566,16544275
0eadde20bc3932e051092d5a6908b4da,1326801,FB,Christopher K. Cox,CPO,2016,658846,933209,14931596,0,0,0.0,9538,16533189
3012751f53e94c755454b7b1e6839bc6,1326801,FB,Mike Schroepfer,CTO,2016,658846,859356,14931596,0,0,0.0,9377,16459175
c766850b3ac1720f54b64ea560e5f386,1326801,META,David M. Wehner,CFO,2016,662692,940421,14931596,0,0,,9566,16544275
0907a8ed9bdc0b3915b1b158a1c485d2,1326801,FB,Sheryl K. Sandberg,COO,2016,738077,1293635,19908426,0,0,0.0,2609319,24549457
2ef5d7b78fe8ad8f7a2b506e211d9bb9,1326801,META,Christopher K. Cox,CPO,2016,658846,933209,14931596,0,0,,9538,16533189
f873d8c8fe9de20d7087c5816e6d01ee,1326801,FB,Christopher K. Cox,CPO,2015,639423,894141,10310705,0,0,0.0,9500,11853769
345533d5b6a57d4417818e4ca37d4ffd,1326801,META,Mark Zuckerberg,CEO,2015,1,0,0,0,0,,5037840,5037841
36c075a85fe09528337a7899067d224b,1326801,FB,Mike Schroepfer,CTO,2015,639423,943360,10310705,0,0,0.0,9140,11902628
40c32140f04bfda5bb92b49913c74f74,1326801,META,Christopher K. Cox,CPO,2015,639423,894141,10310705,0,0,,9500,11853769
3ccc1348935241d9749d1e515a683119,1326801,FB,Sheryl K. Sandberg,COO,2015,715385,1265193,15465667,0,0,0.0,1252724,18698969
2cabae9b2b6289b401b94416936bb480,1326801,FB,David M. Wehner,CFO,2015,665385,653365,15465667,0,0,0.0,9000,16793417
d2b9bef7319d432f600ae1e0a924e503,1326801,META,Sheryl K. Sandberg,COO,2015,715385,1265193,15465667,0,0,,1252724,18698969
538e607d4e792e252acde6236142536b,1326801,FB,Mark Zuckerberg,CEO,2015,1,0,0,0,0,0.0,5037840,5037841
f9c109985c60e2863de896a9eac76888,1326801,META,David M. Wehner,CFO,2015,665385,653365,15465667,0,0,,9000,16793417
c180cef88d59bd5d337cb219f4d75e38,1326801,META,Mike Schroepfer,CTO,2015,639423,943360,10310705,0,0,,9140,11902628
dc5abb141c2d1eea917dd4027aca3e8b,1326801,FB,Mark Zuckerberg,CEO,2014,1,0,0,0,0,0.0,610454,610455
5f7d3c252b21e42b798e72daac3ce968,1326801,FB,Christopher K. Cox,CPO,2014,533654,898991,11024750,0,0,0.0,12750,12470145
874854b7bb19676211515811945d8223,1326801,META,Mark Zuckerberg,CEO,2014,1,0,0,0,0,,610454,610455
3afad0b48f978918dad86730ee8e22b1,1326801,META,Mike Schroepfer,CTO,2014,535577,979021,11024750,0,0,,9164,12548512
dabe36c64bda071e49f6ef755579e415,1326801,FB,David A. Ebersman,Former CFO,2014,511863,224748,8819938,0,0,0.0,8750,9565299
3831f612fe256c715b589c80e6b3c01d,1326801,META,Sheryl K. Sandberg,COO,2014,592885,624204,14332313,0,0,,0,15549402
1942ea8595376ae840f1613c85107050,1326801,FB,Sheryl K. Sandberg,COO,2014,592885,624204,14332313,0,0,0.0,0,15549402
86775d137bf0c3bce25384343d3ad507,1326801,META,Christopher K. Cox,CPO,2014,533654,898991,11024750,0,0,,12750,12470145
60aa5abb3688411816d145fa09d284aa,1326801,FB,David M. Wehner,CFO,2014,418051,535077,11024750,0,0,0.0,9905,11987783
f11145f90976e67570d6f57151ff01cf,1326801,FB,Mike Schroepfer,CTO,2014,535577,979021,11024750,0,0,0.0,9164,12548512
502529c212cc836ea5a55327704095d6,1326801,META,David M. Wehner,CFO,2014,418051,535077,11024750,0,0,,9905,11987783
74491a995ca5a53dd1071dae5f731ef5,1326801,META,David A. Ebersman,Former CFO,2014,511863,224748,8819938,0,0,,8750,9565299
018017e23dc2e22fd6f2e5cb00664425,1326801,FB,Mark Zuckerberg,CEO,2013,1,0,0,0,0,0.0,653164,653165
d042f13ef6baf11543f2bc3d57619837,1326801,FB,Sheryl K. Sandberg,COO,2013,384423,603967,15158758,0,0,0.0,0,16147148
df61647c911024a7443b22d2b9702c2f,1326801,META,Mark Zuckerberg,CEO,2013,1,0,0,0,0,0.0,653164,653165
8ddc0b6e5eee3ce1783eb69571b5133e,1326801,META,Mike Schroepfer,CTO and Vice President of Engineering,2013,352060,358764,11842776,0,0,0.0,4683,12558283
4481fd414ddf7e54c4cb57f5e5b47258,1326801,FB,David A. Ebersman,CFO,2013,384423,603967,9474238,0,0,0.0,1282,10463910
f21d2e9507dcba1a48d94a051e614bab,1326801,META,Sheryl K. Sandberg,COO,2013,384423,603967,15158758,0,0,0.0,0,16147148
58d02e24215ff87c361b5907b5dbb4fe,1326801,FB,David B. Fischer,"Vice President, Business and Marketing Partnerships",2013,284423,7111,6631964,0,1085845,0.0,0,8009343
66826206bf26c2d7287ad83709d661e6,1326801,FB,Mike Schroepfer,CTO and Vice President of Engineering,2013,352060,358764,11842776,0,0,0.0,4683,12558283
42f8136dcc035bd61e2ddade571b32e0,1326801,META,David A. Ebersman,CFO,2013,384423,603967,9474238,0,0,0.0,1282,10463910
705b0269391374c8273f3073eae0aa72,1326801,META,David B. Fischer,"Vice President, Business and Marketing Partnerships",2013,284423,7111,6631964,0,1085845,0.0,0,8009343
d30bc8f41c56d2f6565dc4bbcd02c73c,1326801,META,David A. Ebersman,CFO,2012,321128,186537,17036196,0,0,,0,17543861
4fcda447fa0fef8185d0b3f4f07e8a6b,1326801,META,David B. Fischer,"Vice President, Business and Marketing Partnerships",2012,228885,3000,11143967,0,637380,,0,12013232
0f1d70da4687c3d1e36a0d31203b50a8,1326801,META,Mike Schroepfer,CTO and Vice President of Engineering,2012,293039,194427,20238462,0,0,,0,20725928
7258d4c6038c6365dfe6e0f884eeb29a,1326801,FB,Sheryl K. Sandberg,COO,2012,321128,276730,25618315,0,0,0.0,0,26216173
3ea5bbb02ef3c72da06820d7b50a3346,1326801,FB,David A. Ebersman,CFO,2012,321128,186537,17036196,0,0,0.0,0,17543861
e22fd6a8c426e6fccd690e652aaee2d5,1326801,FB,Mark Zuckerberg,CEO,2012,503205,266101,0,0,0,0.0,1221408,1990714
3b19c85e4a3417ba042f0c4c6d940691,1326801,FB,Mike Schroepfer,CTO and Vice President of Engineering,2012,293039,194427,20238462,0,0,0.0,0,20725928
