"id","keyword","frequency"
"linkedin_6","DATA",6
"linkedin_6","THE",4
"linkedin_6","SCIENCE",4
"linkedin_6","EG",4
"linkedin_6","NEW",3
"linkedin_6","PRODUCT",3
"linkedin_6","EXPERIENCE",3
"linkedin_6","WITH",3
"linkedin_6","INFORM",2
"linkedin_6","QUESTIONS",2
"linkedin_6","ADDING",2
"linkedin_6","SEGMENTS",2
"linkedin_6","DECISIONS",2
"linkedin_6","MATH",2
"linkedin_6","STATISTICS",2
"linkedin_6","COMPUTER",2
"linkedin_6","COMPUTER SCIENCE",2
"linkedin_6","QUANTITATIVE",2
"linkedin_6","FIELD",2
"linkedin_6","QUANTITATIVE FIELD",2
"linkedin_6","TECHNICAL",2
"linkedin_6","BACKGROUND",2
"linkedin_6","BACKGROUND IN",2
"linkedin_6","PROCESSING",2
"linkedin_6","DATA PROCESSING",2
"linkedin_6","PROFICIENCY",2
"linkedin_6","MODELING",2
"linkedin_6","DISTRIBUTED",2
"linkedin_6","REDSHIFT",2
"linkedin_6","STATISTICAL",2
"linkedin_6","COLLABORATING",2
"linkedin_6","MEASURE",1
"linkedin_6","IMPACT",1
"linkedin_6","TO MEASURE",1
"linkedin_6","MEASURE THE",1
"linkedin_6","THE IMPACT",1
"linkedin_6","IMPACT OF",1
"linkedin_6","TO MEASURE THE",1
"linkedin_6","MEASURE THE IMPACT",1
"linkedin_6","THE IMPACT OF",1
"linkedin_6","TO MEASURE THE IMPACT",1
"linkedin_6","MEASURE THE IMPACT OF",1
"linkedin_6","TO MEASURE THE IMPACT OF",1
"linkedin_6","FEATURES",1
"linkedin_6","OF NEW",1
"linkedin_6","NEW PRODUCT",1
"linkedin_6","PRODUCT FEATURES",1
"linkedin_6","OF NEW PRODUCT",1
"linkedin_6","NEW PRODUCT FEATURES",1
"linkedin_6","OF NEW PRODUCT FEATURES",1
"linkedin_6","AND INFORM",1
"linkedin_6","INFORM OUR",1
"linkedin_6","AND INFORM OUR",1
"linkedin_6","ROADMAP",1
"linkedin_6","OUR PRODUCT",1
"linkedin_6","PRODUCT ROADMAP",1
"linkedin_6","OUR PRODUCT ROADMAP",1
"linkedin_6","LIKE",1
"linkedin_6","QUESTIONS LIKE",1
"linkedin_6","LIKE WHAT",1
"linkedin_6","QUESTIONS LIKE WHAT",1
"linkedin_6","ARE",1
"linkedin_6","COLLABORATIVE",1
"linkedin_6","WHAT ARE",1
"linkedin_6","ARE THE",1
"linkedin_6","THE COLLABORATIVE",1
"linkedin_6","WHAT ARE THE",1
"linkedin_6","ARE THE COLLABORATIVE",1
"linkedin_6","WHAT ARE THE COLLABORATIVE",1
"linkedin_6","MOST",1
"linkedin_6","SUCCESSFUL",1
"linkedin_6","TEAMS",1
"linkedin_6","OF THE",1
"linkedin_6","THE MOST",1
"linkedin_6","MOST SUCCESSFUL",1
"linkedin_6","SUCCESSFUL TEAMS",1
"linkedin_6","OF THE MOST",1
"linkedin_6","THE MOST SUCCESSFUL",1
"linkedin_6","MOST SUCCESSFUL TEAMS",1
"linkedin_6","OF THE MOST SUCCESSFUL",1
"linkedin_6","THE MOST SUCCESSFUL TEAMS",1
"linkedin_6","OF THE MOST SUCCESSFUL TEAMS",1
"linkedin_6","UTILIZING",1
"linkedin_6","VAST",1
"linkedin_6","AMOUNTS",1
"linkedin_6","UTILIZING VAST",1
"linkedin_6","VAST AMOUNTS",1
"linkedin_6","UTILIZING VAST AMOUNTS",1
"linkedin_6","OF DATA",1
"linkedin_6","DATA ADDING",1
"linkedin_6","OF DATA ADDING",1
"linkedin_6","METRICS",1
"linkedin_6","ADDING NEW",1
"linkedin_6","NEW METRICS",1
"linkedin_6","ADDING NEW METRICS",1
"linkedin_6","WAREHOUSE",1
"linkedin_6","OUR DATA",1
"linkedin_6","DATA WAREHOUSE",1
"linkedin_6","WAREHOUSE TO",1
"linkedin_6","OUR DATA WAREHOUSE",1
"linkedin_6","DATA WAREHOUSE TO",1
"linkedin_6","OUR DATA WAREHOUSE TO",1
"linkedin_6","MAKE",1
"linkedin_6","CLASSES",1
"linkedin_6","TO MAKE",1
"linkedin_6","MAKE NEW",1
"linkedin_6","NEW CLASSES",1
"linkedin_6","TO MAKE NEW",1
"linkedin_6","MAKE NEW CLASSES",1
"linkedin_6","TO MAKE NEW CLASSES",1
"linkedin_6","ANSWERABLE",1
"linkedin_6","BUILDING",1
"linkedin_6","MODELS",1
"linkedin_6","QUESTIONS ANSWERABLE",1
"linkedin_6","ANSWERABLE BUILDING",1
"linkedin_6","BUILDING MODELS",1
"linkedin_6","QUESTIONS ANSWERABLE BUILDING",1
"linkedin_6","ANSWERABLE BUILDING MODELS",1
"linkedin_6","QUESTIONS ANSWERABLE BUILDING MODELS",1
"linkedin_6","PREDICT",1
"linkedin_6","GROWTH",1
"linkedin_6","TRAJECTORY",1
"linkedin_6","TO PREDICT",1
"linkedin_6","PREDICT THE",1
"linkedin_6","THE GROWTH",1
"linkedin_6","GROWTH TRAJECTORY",1
"linkedin_6","TRAJECTORY OF",1
"linkedin_6","TO PREDICT THE",1
"linkedin_6","PREDICT THE GROWTH",1
"linkedin_6","THE GROWTH TRAJECTORY",1
"linkedin_6","GROWTH TRAJECTORY OF",1
"linkedin_6","TO PREDICT THE GROWTH",1
"linkedin_6","PREDICT THE GROWTH TRAJECTORY",1
"linkedin_6","THE GROWTH TRAJECTORY OF",1
"linkedin_6","TO PREDICT THE GROWTH TRAJECTORY",1
"linkedin_6","PREDICT THE GROWTH TRAJECTORY OF",1
"linkedin_6","TO PREDICT THE GROWTH TRAJECTORY OF",1
"linkedin_6","DIFFERENT",1
"linkedin_6","CUSTOMER",1
"linkedin_6","OF DIFFERENT",1
"linkedin_6","DIFFERENT CUSTOMER",1
"linkedin_6","CUSTOMER SEGMENTS",1
"linkedin_6","OF DIFFERENT CUSTOMER",1
"linkedin_6","DIFFERENT CUSTOMER SEGMENTS",1
"linkedin_6","OF DIFFERENT CUSTOMER SEGMENTS",1
"linkedin_6","IMPROVE",1
"linkedin_6","INPRODUCT",1
"linkedin_6","SEGMENTS IMPROVE",1
"linkedin_6","IMPROVE INPRODUCT",1
"linkedin_6","SEGMENTS IMPROVE INPRODUCT",1
"linkedin_6","BUSINESS",1
"linkedin_6","OR INFORM",1
"linkedin_6","INFORM BUSINESS",1
"linkedin_6","BUSINESS DECISIONS",1
"linkedin_6","OR INFORM BUSINESS",1
"linkedin_6","INFORM BUSINESS DECISIONS",1
"linkedin_6","OR INFORM BUSINESS DECISIONS",1
"linkedin_6","BACHELOR",1
"linkedin_6","DEGREE",1
"linkedin_6","DECISIONS BACHELOR",1
"linkedin_6","BACHELOR DEGREE",1
"linkedin_6","DEGREE IN",1
"linkedin_6","DECISIONS BACHELOR DEGREE",1
"linkedin_6","BACHELOR DEGREE IN",1
"linkedin_6","DECISIONS BACHELOR DEGREE IN",1
"linkedin_6","ENGINEERING",1
"linkedin_6","A",1
"linkedin_6","IN MATH",1
"linkedin_6","MATH STATISTICS",1
"linkedin_6","STATISTICS COMPUTER",1
"linkedin_6","SCIENCE ENGINEERING",1
"linkedin_6","ENGINEERING A",1
