"keyword","sumFreq","numWords"
"DATA",477,1
"THE",464,1
"WITH",349,1
"A",337,1
"EXPERIENCE",249,1
"",187,1
"IS",135,1
"SCIENCE",129,1
"BUSINESS",127,1
"WORK",127,1
"LEARNING",100,1
"WILL",94,1
"TEAM",92,1
"DATA SCIENCE",90,2
"ARE",89,1
"ANALYSIS",86,1
"BE",82,1
"ANALYTICS",76,1
"SKILLS",73,1
"MACHINE",72,1
"MACHINE LEARNING",71,2
"ENGINEERING",69,1
"EXPERIENCE WITH",66,2
"NEW",65,1
"USING",62,1
"ABILITY",61,1
"MODELS",60,1
"ABILITY TO",59,2
"PRODUCT",59,1
"OF THE",56,2
"STATISTICAL",56,1
"SCIENTIST",55,1
"STRONG",55,1
"PYTHON",53,1
"AN",52,1
"WORKING",51,1
"DATA SCIENTIST",50,2
"KNOWLEDGE",50,1
"DEVELOP",47,1
"INCLUDING",47,1
"MODELING",47,1
"RESEARCH",47,1
"PROBLEMS",44,1
"SUCH",44,1
"IN THE",43,2
"STATISTICS",43,1
"INSIGHTS",42,1
"SUCH AS",42,2
"ADVANCED",41,1
"SQL",40,1
"IN A",39,2
"TEAMS",39,1
"TECHNIQUES",39,1
"ANALYTICAL",38,1
"EXPERIENCE IN",38,2
"HAVE",38,1
"WITH THE",38,2
"BUILDING",37,1
"DEGREE",37,1
"MODEL",37,1
"SOLUTIONS",37,1
"TECHNICAL",37,1
"ALL",36,1
"DEVELOPMENT",36,1
"OF DATA",36,2
"TO WORK",36,2
"COMMUNICATION",35,1
"COMPUTER",35,1
"ETC",35,1
"UNDERSTANDING",35,1
"DESIGN",34,1
"PREFERRED",34,1
"ROLE",34,1
"INFORMATION",33,1
"SOFTWARE",33,1
"COMPANY",32,1
"QUANTITATIVE",32,1
"TOOLS",32,1
"DEMONSTRATED",31,1
"THE DATA",31,2
"TIME",31,1
"WITH A",31,2
"WORK WITH",31,2
"HELP",30,1
"MORE",30,1
"PROGRAMMING",30,1
"REQUIRED",30,1
"WE ARE",30,2
"DATA AND",29,2
"R",29,1
"UNDERSTANDING OF",29,2
"AND DATA",28,2
"BENEFITS",28,1
"FIELD",28,1
"IS A",28,2
"PEOPLE",28,1
"PROVIDE",28,1
"SUPPORT",28,1
"TECHNOLOGY",28,1
"BUILD",27,1
"CAN",27,1
"COMPLEX",27,1
"PLUS",27,1
"KNOWLEDGE OF",26,2
"PRODUCTS",26,1
"VISUALIZATION",26,1
"APPLIED",25,1
"CODE",25,1
"CREATE",25,1
"MATHEMATICS",25,1
"OPERATIONS",25,1
"STAKEHOLDERS",25,1
"BACHELORS",24,1
"COMMUNICATE",24,1
"COMPUTER SCIENCE",24,2
"HEALTH",24,1
"PROJECTS",24,1
"ANDOR",23,1
"APPROACHES",23,1
"CLIMATE",23,1
"IMPROVE",23,1
"KEY",23,1
"QUALIFICATIONS",23,1
"STATUS",23,1
"TECHNOLOGIES",23,1
"TO THE",23,2
"VISION",23,1
"ENVIRONMENT",22,1
"IDENTIFY",22,1
"INDUSTRY",22,1
"MARKETING",22,1
"PROCESSES",22,1
"PRODUCTION",22,1
"QUALITY",22,1
"TESTING",22,1
"UNDERSTAND",22,1
"A PLUS",21,2
"APPLY",21,1
"CUSTOMER",21,1
"DATA ANALYSIS",21,2
"DEGREE IN",21,2
"DESIGN AND",21,2
"EG",21,1
"FOR A",21,2
"GROWTH",21,1
"PROCESS",21,1
"DEEP",20,1
"IN DATA",20,2
"LARGE",20,1
"MAKE",20,1
"ONE",20,1
"OPPORTUNITY",20,1
"PREDICTIVE",20,1
"RESULTS",20,1
"USE",20,1
"WERE",20,1
"YOU WILL",20,2
"ALGORITHMS",19,1
"ANALYSIS AND",19,2
"EMPLOYMENT",19,1
"EXPERIENCE WORKING",19,2
"IMPACT",19,1
"LANGUAGE",19,1
"LIKE",19,1
"NOT",19,1
"OPPORTUNITIES",19,1
"POSITION",19,1
"PROBLEM",19,1
"REMOTE",19,1
"SETS",19,1
"WILL BE",19,2
"A DATA",18,2
"ABLE",18,1
"ABLE TO",18,2
"AI",18,1
"ANALYZE",18,1
"BOTH",18,1
"COMMUNICATION SKILLS",18,2
"DATA ANALYTICS",18,2
"DELIVER",18,1
"ON THE",18,2
"PROCESSING",18,1
"RESPONSIBILITIES",18,1
"SOLVING",18,1
"WELL",18,1
"WORKING WITH",18,2
"YEARS",18,1
"ANY",17,1
"APPLICANTS",17,1
"CLIENT",17,1
"IMPLEMENT",17,1
"INSURANCE",17,1
"LOOKING",17,1
"RELEVANT",17,1
"SOLVE",17,1
"SYSTEMS",17,1
"VARIOUS",17,1
"401K",16,1
"CANDIDATES",16,1
"DRIVE",16,1
"JOB",16,1
"LEARNING AND",16,2
"MUST",16,1
"SCIENCE AND",16,2
"TEAM TO",16,2
"TO SUPPORT",16,2
"WITH DATA",16,2
"EXCEL",15,1
"EXPERTISE",15,1
"FORECASTING",15,1
"GLOBAL",15,1
"INNOVATIVE",15,1
"PART",15,1
"PROFICIENCY",15,1
"SOURCES",15,1
"VISUALIZATIONS",15,1
"YOULL",15,1
"A TEAM",14,2
"ANALYTIC",14,1
"AND MACHINE LEARNING",14,3
"APPLICATIONS",14,1
"AS WELL",14,2
"AS WELL AS",14,3
"BOSCH",14,1
"BUSINESS PROBLEMS",14,2
"CHAIN",14,1
"DATA SCIENCE AND",14,3
"DATA TO",14,2
"DIVERSE",14,1
"EQUAL",14,1
"HERSHEY",14,1
"LOCATION",14,1
"MARKET",14,1
"MASTERS",14,1
"MAY",14,1
"METHODS",14,1
"METRICS",14,1
"PERFORMANCE",14,1
"SCIENTIST WILL",14,2
"SCIENTISTS",14,1
"SEEKING",14,1
"SUPPLY",14,1
"TO A",14,2
"TO BE",14,2
"TO UNDERSTAND",14,2
"VALUE",14,1
"WELL AS",14,2
"ACROSS THE",13,2
"ACTIONABLE",13,1
"AND IMPLEMENT",13,2
"AND MACHINE",13,2
"AS A",13,2
"CLOSELY WITH",13,2
"CONCEPTS",13,1
"DECISION",13,1
"DECISIONS",13,1
"DISABILITY",13,1
"ECONOMICS",13,1
"HAS",13,1
"LOOKING FOR",13,2
"OF EXPERIENCE",13,2
"OWN",13,1
"PART OF",13,2
"PERFORM",13,1
"PLEASE",13,1
"REGRESSION",13,1
"REQUIREMENTS",13,1
"RESEARCH AND",13,2
"SUPPLY CHAIN",13,2
"TABLEAU",13,1
"THE TEAM",13,2
"THIS ROLE",13,2
"TO BUILD",13,2
"TO DEVELOP",13,2
"TO SOLVE",13,2
"WRITTEN",13,1
"AND THE",12,2
"BASEBALL",12,1
"CLASSIFICATION",12,1
"COLLABORATE",12,1
"CULTURE",12,1
"CUSTOMERS",12,1
"DATA VISUALIZATION",12,2
"EDUCATION",12,1
"ENDTOEND",12,1
"ENGINEERS",12,1
"ENSURE",12,1
"FAMILIARITY",12,1
"FAMILIARITY WITH",12,2
"FOR DATA",12,2
"GOOD",12,1
"LANGUAGES",12,1
"LEARNING MODELS",12,2
"LIFE",12,1
"MAKING",12,1
"ML",12,1
"MULTIPLE",12,1
"ORGANIZATION",12,1
"OUTCOMES",12,1
"PAY",12,1
"QUANTITATIVE FIELD",12,2
"RD",12,1
"SPARK",12,1
"WOULD",12,1
"A DATA SCIENTIST",11,3
"ADHOC",11,1
"AND ENGINEERING",11,2
"BACHELORS DEGREE",11,2
"CANDIDATE",11,1
"CONNECT",11,1
"DATA FOR",11,2
"DATA SCIENTISTS",11,2
"DATA SETS",11,2
"DEEP LEARNING",11,2
"DENTAL",11,1
"EMPLOYER",11,1
"EQUIVALENT",11,1
"EXCELLENT",11,1
"FLEXIBLE",11,1
"FULL",11,1
"GENDER",11,1
"IN DATA SCIENCE",11,3
"LEAD",11,1
"LEARN",11,1
"MAINTAIN",11,1
"MAJOR",11,1
"MARKETS",11,1
"MEMBERS",11,1
"MODERN",11,1
"MONITOR",11,1
"MOST",11,1
"ONE OF",11,2
"OPERATIONAL",11,1
"PARTNERS",11,1
"PLAN",11,1
"PLANNING",11,1
"POLICY",11,1
"PRACTICES",11,1
"PREVIOUS",11,1
"PROGRAM",11,1
"RESPONSIBILITY",11,1
"RETAIL",11,1
"RIGHT",11,1
"SAFETY",11,1
"SCALE",11,1
