"keyword","sumFreq","numWords"
"THE",293,1
"DATA",275,1
"WITH",223,1
"A",204,1
"EXPERIENCE",134,1
"IS",83,1
"WORK",77,1
"BUSINESS",71,1
"SCIENCE",67,1
"",62,1
"TEAM",59,1
"WILL",57,1
"BE",53,1
"ARE",50,1
"SKILLS",48,1
"ANALYSIS",47,1
"LEARNING",47,1
"DATA SCIENCE",46,2
"EXPERIENCE WITH",44,2
"ANALYTICS",41,1
"ENGINEERING",39,1
"USING",39,1
"AN",38,1
"NEW",38,1
"PRODUCT",38,1
"ABILITY",35,1
"KNOWLEDGE",35,1
"ABILITY TO",34,2
"SCIENTIST",33,1
"MACHINE",31,1
"SUCH",31,1
"INCLUDING",30,1
"OF THE",30,2
"PYTHON",30,1
"STATISTICAL",30,1
"MACHINE LEARNING",29,2
"MODELS",29,1
"SUCH AS",29,2
"DATA SCIENTIST",28,2
"INSIGHTS",28,1
"STRONG",28,1
"TEAMS",28,1
"IN A",27,2
"WORKING",27,1
"IN THE",26,2
"STATISTICS",26,1
"ETC",25,1
"SUPPORT",25,1
"ALL",24,1
"BENEFITS",24,1
"COMMUNICATION",24,1
"DEVELOP",24,1
"SOLUTIONS",24,1
"SQL",24,1
"TECHNIQUES",24,1
"TO WORK",24,2
"ANALYTICAL",23,1
"BUILDING",23,1
"CLIMATE",23,1
"DEMONSTRATED",23,1
"PROBLEMS",23,1
"TOOLS",23,1
"WITH A",23,2
"DEGREE",22,1
"DEVELOPMENT",22,1
"HAVE",22,1
"ROLE",22,1
"TIME",21,1
"APPROACHES",20,1
"KNOWLEDGE OF",20,2
"MODELING",20,1
"PEOPLE",20,1
"R",20,1
"WITH THE",20,2
"AND DATA",19,2
"BUILD",19,1
"INFORMATION",19,1
"MORE",19,1
"OF DATA",19,2
"QUALITY",19,1
"RESEARCH",19,1
"STATUS",19,1
"TECHNICAL",19,1
"THE DATA",19,2
"WE ARE",19,2
"WORK WITH",19,2
"COMPANY",18,1
"PREFERRED",18,1
"PROVIDE",18,1
"STAKEHOLDERS",18,1
"ADVANCED",17,1
"DATA AND",17,2
"FIELD",17,1
"QUANTITATIVE",17,1
"REQUIRED",17,1
"SOFTWARE",17,1
"CAN",16,1
"COMPUTER",16,1
"EMPLOYMENT",16,1
"HEALTH",16,1
"OPPORTUNITIES",16,1
"PROBLEM",16,1
"PROCESSES",16,1
"SETS",16,1
"TO THE",16,2
"VISION",16,1
"VISUALIZATION",16,1
"ANDOR",15,1
"CREATE",15,1
"GROWTH",15,1
"IDENTIFY",15,1
"LANGUAGE",15,1
"MODEL",15,1
"OPERATIONS",15,1
"PROGRAMMING",15,1
"TESTING",15,1
"APPLIED",14,1
"DATA ANALYSIS",14,2
"DELIVER",14,1
"DESIGN",14,1
"EXPERIENCE IN",14,2
"FORECASTING",14,1
"HERSHEY",14,1
"IMPROVE",14,1
"INSURANCE",14,1
"PRODUCTS",14,1
"SOLVING",14,1
"UNDERSTAND",14,1
"UNDERSTANDING",14,1
"WERE",14,1
"401K",13,1
"A DATA",13,2
"BACHELORS",13,1
"DATA ANALYTICS",13,2
"HELP",13,1
"IN DATA",13,2
"MAKE",13,1
"NOT",13,1
"TO SUPPORT",13,2
"WILL BE",13,2
"YOULL",13,1
"ANALYZE",12,1
"BASEBALL",12,1
"COMPLEX",12,1
"DEGREE IN",12,2
"DRIVE",12,1
"FOR A",12,2
"IS A",12,2
"LOCATION",12,1
"ON THE",12,2
"PAY",12,1
"SUPPLY",12,1
"TECHNOLOGY",12,1
"ABLE",11,1
"ABLE TO",11,2
"APPLICANTS",11,1
"APPLICATIONS",11,1
"COMMUNICATE",11,1
"COMMUNICATION SKILLS",11,2
"INNOVATIVE",11,1
"LANGUAGES",11,1
"LARGE",11,1
"METRICS",11,1
"MULTIPLE",11,1
"MUST",11,1
"OPERATIONAL",11,1
"OPPORTUNITY",11,1
"PLANNING",11,1
"POLICY",11,1
"POSITION",11,1
"PROCESSING",11,1
"TO UNDERSTAND",11,2
"USE",11,1
"WELL",11,1
"WRITTEN",11,1
"YEARS",11,1
"ACROSS THE",10,2
"AI",10,1
"ALGORITHMS",10,1
"ANALYSIS AND",10,2
"AND ENGINEERING",10,2
"CHAIN",10,1
"CLASSIFICATION",10,1
"COMPUTER SCIENCE",10,2
"CUSTOMERS",10,1
"DATA TO",10,2
"DEEP",10,1
"DIVERSE",10,1
"ELIGIBLE",10,1
"ENVIRONMENT",10,1
"EQUAL",10,1
"EQUIVALENT",10,1
"EXPERTISE",10,1
"FLEXIBLE",10,1
"MAY",10,1
"PROCESS",10,1
"QUALIFICATIONS",10,1
"RESULTS",10,1
"SAFETY",10,1
"SCIENTIST WILL",10,2
"SEEKING",10,1
"SUPPLY CHAIN",10,2
"VALUE",10,1
"YOU WILL",10,2
"ANY",9,1
"APPLY",9,1
"AUDIENCES",9,1
"CANDIDATES",9,1
"CHANGE",9,1
"CODE",9,1
"CUSTOMER",9,1
"DATA SCIENCE AND",9,3
"DATA SETS",9,2
"DEMAND",9,1
"DISABILITY",9,1
"FAMILIARITY",9,1
"FAMILIARITY WITH",9,2
"KEY",9,1
"LIFE",9,1
"LOOKING",9,1
"MARKET",9,1
"MARKETS",9,1
"MODERN",9,1
"ONE",9,1
"PART",9,1
"PARTNERS",9,1
"PERFORMANCE",9,1
"PLEASE",9,1
"REGRESSION",9,1
"RELEVANT",9,1
"REMOTE",9,1
"RESPONSIBILITIES",9,1
"SCIENCE AND",9,2
"SCIENCES",9,1
"TECHNOLOGIES",9,1
"TO BE",9,2
"TO BUILD",9,2
"TO DELIVER",9,2
"UNDERSTANDING OF",9,2
"VERBAL",9,1
"WITH DATA",9,2
"WORKING WITH",9,2
"YEAR",9,1
"1",8,1
"A TEAM",8,2
"A VARIETY",8,2
"A VARIETY OF",8,3
"ACCESS",8,1
"ACTIONABLE",8,1
"ANALYTIC",8,1
"AS A",8,2
"AS WELL",8,2
"AS WELL AS",8,3
"BOTH",8,1
"BRING",8,1
"BUSINESS PROBLEMS",8,2
"CANDIDATE",8,1
"CENTRALS",8,1
"CLOSELY WITH",8,2
"CREATING",8,1
"DATA VISUALIZATION",8,2
"DECISION",8,1
"DEMONSTRATED EXPERIENCE",8,2
"DENTAL",8,1
"DESIGN AND",8,2
"ECONOMICS",8,1
"EDUCATION",8,1
"EG",8,1
"EMPATHY",8,1
"EMPLOYEES",8,1
"EMPLOYER",8,1
"EXCELLENT",8,1
"GLOBAL",8,1
"IMPACT",8,1
"INDUSTRY",8,1
"JOB",8,1
"LEARNING AND",8,2
"LIKE",8,1
"MAINTAIN",8,1
"MATHEMATICS",8,1
"MEMBERS",8,1
"OF EXPERIENCE",8,2
"OFFERED",8,1
"OR EQUIVALENT",8,2
"OUR TEAM",8,2
"OUTCOMES",8,1
"OWN",8,1
"PART OF",8,2
"PRACTICES",8,1
"PREDICTIVE",8,1
"PRODUCT AND",8,2
"PRODUCTION",8,1
"PROGRAM",8,1
"PROGRAMS",8,1
"PTO",8,1
"RANGE",8,1
"RD",8,1
"RELATIONSHIPS",8,1
"REQUIREMENTS",8,1
"SALARY",8,1
"SCIENTISTS",8,1
"SOLVE",8,1
"TEAM TO",8,2
"THAT IS",8,2
"THE ABILITY",8,2
"THE ABILITY TO",8,3
"THE TEAM",8,2
"THIS POSITION",8,2
"THIS ROLE",8,2
"TO A",8,2
"TRACK",8,1
"TSSCI",8,1
"TWITCH",8,1
"VARIETY",8,1
"VARIETY OF",8,2
"WELL AS",8,2
"100",7,1
"A DATA SCIENTIST",7,3
"ADHOC",7,1
"AGE",7,1
"ANALYTICS AND",7,2
"AND BUSINESS",7,2
"AND EXPERIENCE",7,2
"AND THE",7,2
"BASIS",7,1
"BEST",7,1
"CHALLENGES",7,1
"CITIZENSHIP",7,1
"COLOR",7,1
"COMMON",7,1
"CROSSFUNCTIONAL",7,1
"DATA SCIENTISTS",7,2
"ENSURE",7,1
"EXPERIENCE WORKING",7,2
"GENDER",7,1
"GENERATE",7,1
"LEARN",7,1
"LEVEL",7,1
"MAKING",7,1
"MASTERS",7,1
"MISSION",7,1
"ML",7,1
"MONITOR",7,1
"NATIONAL",7,1
"NO",7,1
"OF A",7,2
"ON A",7,2
"OR PYTHON",7,2
"ORDER",7,1
"PASSION",7,1
"PLAN",7,1
"PLUS",7,1
"PRIMARY",7,1
"PRIOR",7,1
"PROBLEM SOLVING",7,2
"PROJECTS",7,1
"PROVIDING",7,1
"R OR",7,2
"SAVINGS",7,1
"SERIES",7,1
"SOURCES",7,1
"SPORTS",7,1
"STATES",7,1
"STATISTICAL ANALYSIS",7,2
"SUCCESSFUL",7,1
"TO APPLY",7,2
"TRAINING",7,1
"TRAVELERS",7,1
"TRENDS",7,1
"TRUST",7,1
"VARIOUS",7,1
"WITH OTHER",7,2
"WORLDS",7,1
"WRITTEN AND",7,2
"ACTIONABLE INSIGHTS",6,2
"AN EQUAL",6,2
"ANALYZING",6,1
"AND MACHINE",6,2
"AND MACHINE LEARNING",6,3
"AND MAINTAIN",6,2
"AND MORE",6,2
"AND VERBAL",6,2
"AND VERBAL COMMUNICATION",6,3
"AND VERBAL COMMUNICATION SKILLS",6,4
"AND WORK",6,2
"AS PART",6,2
"AS PART OF",6,3
"AT THE",6,2
"ATTRIBUTION",6,1
"AVAILABLE",6,1
"BACHELORS DEGREE",6,2
"BANK",6,1
"BASE",6,1
"BUILDING AND",6,2
"BUSINESS PARTNERS",6,2
"CLEVELAND",6,1
"CLIENT",6,1
"COMMUNITY",6,1
"COMPENSATION",6,1
"CONTENT",6,1
"CONTRIBUTION",6,1
"CULTURE",6,1
"DATA ENGINEERING",6,2
"DATA SCIENTIST WILL",6,3
"DEEP LEARNING",6,2
"DEFINE",6,1
"DEMAND PLANNING",6,2
"DEPLOY",6,1
"DESIGNING",6,1
"DEVELOPING",6,1
"DISCIPLINES",6,1
"DO",6,1
"ELECTRICITY",6,1
"EMPLOYEE",6,1
"EMPOWER",6,1
"ENCOURAGE",6,1
"END",6,1
"ETC KNOWLEDGE",6,2
"ETC KNOWLEDGE OF",6,3
"EXCEL",6,1
"EXPECTATIONS",6,1
"EXPERIENCE BUILDING",6,2
"FOR DATA",6,2
"FOR EMPLOYMENT",6,2
"FROM THE",6,2
"HAS",6,1
"HIGH",6,1
"IN DATA SCIENCE",6,3
"IN ORDER",6,2
"IN ORDER TO",6,3
"INSIGHT",6,1
"INTERNAL",6,1
"IS TO",6,2
"KEYME",6,1
"KNOW",6,1
"LANGUAGES SUCH",6,2
"LANGUAGES SUCH AS",6,3
"LEADERSHIP",6,1
"LEADING",6,1
"LEARNING MODELS",6,2
"LEVELS",6,1
"LOOKING FOR",6,2
"MANAGE",6,1
"MARKETING",6,1
"MATCH",6,1
"MATH",6,1
"MATLAB",6,1
"MEDICAL",6,1
"METHODS",6,1
"NATIONAL ORIGIN",6,2
"OF NEW",6,2
"OPEN",6,1
"OPPORTUNITY EMPLOYER",6,2
"OPTIMIZATION",6,1
"OR A",6,2
"ORDER TO",6,2
"ORGANIZATION",6,1
"ORIENTATION",6,1
"ORIGIN",6,1
"OTHERS",6,1
"OUR DATA",6,2
"PARENTAL",6,1
"PERFORM",6,1
"PRACTICE",6,1
"PROFICIENT",6,1
"PROTECTED",6,1
"QUANTITATIVE FIELD",6,2
"RACE",6,1
"REPORTING",6,1
"RESOURCES",6,1
"REWARDS",6,1
"RPYTHON",6,1
"SCALE",6,1
"SCHEDULE",6,1
"SERVICE",6,1
"SET",6,1
"SEXUAL",6,1
