"keyword","sumFreq","numWords"
"DATA",202,1
"THE",171,1
"A",133,1
"WITH",126,1
"",125,1
"EXPERIENCE",115,1
"SCIENCE",62,1
"BUSINESS",56,1
"LEARNING",53,1
"IS",52,1
"WORK",50,1
"DATA SCIENCE",44,2
"MACHINE LEARNING",42,2
"MACHINE",41,1
"ANALYSIS",39,1
"ARE",39,1
"WILL",37,1
"ANALYTICS",35,1
"TEAM",33,1
"MODELS",31,1
"ENGINEERING",30,1
"BE",29,1
"RESEARCH",28,1
"MODELING",27,1
"NEW",27,1
"STRONG",27,1
"ABILITY",26,1
"OF THE",26,2
"STATISTICAL",26,1
"ABILITY TO",25,2
"SKILLS",25,1
"ADVANCED",24,1
"EXPERIENCE IN",24,2
"WORKING",24,1
"DEVELOP",23,1
"PYTHON",23,1
"USING",23,1
"DATA SCIENTIST",22,2
"EXPERIENCE WITH",22,2
"MODEL",22,1
"SCIENTIST",22,1
"PROBLEMS",21,1
"PRODUCT",21,1
"UNDERSTANDING",21,1
"DESIGN",20,1
"PLUS",20,1
"UNDERSTANDING OF",20,2
"COMPUTER",19,1
"TECHNICAL",18,1
"WITH THE",18,2
"A PLUS",17,2
"HELP",17,1
"IN THE",17,2
"INCLUDING",17,1
"MATHEMATICS",17,1
"OF DATA",17,2
"PROJECTS",17,1
"STATISTICS",17,1
"CODE",16,1
"HAVE",16,1
"IS A",16,2
"MARKETING",16,1
"PREFERRED",16,1
"SOFTWARE",16,1
"SQL",16,1
"TECHNOLOGY",16,1
"ANALYTICAL",15,1
"COMPLEX",15,1
"DEGREE",15,1
"KNOWLEDGE",15,1
"PROGRAMMING",15,1
"QUANTITATIVE",15,1
"TECHNIQUES",15,1
"AN",14,1
"BOSCH",14,1
"BUILDING",14,1
"COMPANY",14,1
"COMPUTER SCIENCE",14,2
"DEVELOPMENT",14,1
"INDUSTRY",14,1
"INFORMATION",14,1
"INSIGHTS",14,1
"KEY",14,1
"PRODUCTION",14,1
"TECHNOLOGIES",14,1
"COMMUNICATE",13,1
"DESIGN AND",13,2
"EG",13,1
"PROFICIENCY",13,1
"QUALIFICATIONS",13,1
"REQUIRED",13,1
"SOLUTIONS",13,1
"SUCH",13,1
"SUCH AS",13,2
"SYSTEMS",13,1
"ALL",12,1
"APPLY",12,1
"CUSTOMER",12,1
